Algeria,Algerian,,
Angola,Angolan,,
Argentina,Argentine,,
Australia,Australian,,
Austria,Austrian,,
Azerbaijan,,,
Bangladesh,Bangladeshi,,
Belarus,Belarusian,,
Belgium,Belgian,,
Brazil,Brazilian,,
Bulgaria,Bulgarian,,
Canada,Canadian,,
Chile,Chilean,,
China,Chinese,,
Colombia,Colombian,,
Croatia,Croatian,,
Cuba,Cuban,,
Czech Republic,Czech,,
Denmark,Danish,,
Dominican Republic,Dominican,,
Ecuador,Ecuadorian,,
Egypt,Egyptian,,
Finland,Finnish,,
France,French,,
Germany,German,,
Greece,Greek,,
Hong Kong,,,
Hungary,Hungarian,,
India,Indian,,
Indonesia,Indonesian,,
Iran,Iranian,,
Iraq,Iraqi,,
Ireland,Irish,,
Israel,Israeli,,
Italy,Italian,,
Japan,Japanese,,
Kazakhstan,Kazakh,,
Korea,Korean,,
Kuwait,,,
Libya,Libyan,,
Luxembourg,,,
Malaysia,Malaysian,,
Mexico,Mexican,,
Morocco,Moroccan,,
Myanmar,,,
Netherlands,Netherland's,,
New Zealand,,,
Nigeria,Nigerian,,
Norway,Norwegian,,
Oman,Omani,,
Pakistan,Pakistani,,
Peru,Peruvian,,
Philippines,Philippine,,
Poland,Polish,,
Portugal,Portuguese,,
Puerto Rico,Peuerto Rican,,
Qatar,,,
Romania,Romanian,,
Russia,Russian,,
Saudi Arabia,Saudi Arabian,Saudi,
Singapore,Singaporean,,
Slovakia,Slovak,,
South Africa,South African,,
Spain,Spanish,,
Sri Lanka,Sri Lankan,,
Sudan,Sudanese,,
Sweden,Swedish,,
Switzerland,Swiss,,
Thailand,Thai,,
Turkey,Turkish,,
Ukraine,Ukranian,,
United Arab Emirates,Emirati, UAE ,
United Kingdom, UK ,,
United States,American, USA , US 
Vietnam,Vietnamese,,
